127.0.0.1 - - [15/Jul/2025:16:09:27 -0600] "GET / HTTP/1.1" 200 988 "-" "curl/8.12.1"
192.168.1.108 - - [15/Jul/2025:16:18:09 -0600] "GET / HTTP/1.1" 200 107 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:18:09 -0600] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 107 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Safari"
192.168.1.108 - - [15/Jul/2025:16:18:09 -0600] "GET /favicon.ico HTTP/1.1" 200 107 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:18:10 -0600] "GET /apple-touch-icon.png HTTP/1.1" 200 107 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Safari"
172.20.0.1 - - [15/Jul/2025:16:19:30 -0600] "GET / HTTP/1.1" 200 50 "-" "curl/7.88.1"
192.168.1.108 - - [15/Jul/2025:16:19:36 -0600] "GET / HTTP/1.1" 200 50 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:23:21 -0600] "GET / HTTP/1.1" 200 1375 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET / HTTP/1.1" 200 5528 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /favicon.ico HTTP/1.1" 200 1150 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /css/app.css?id=e8db4d3d99fdd3f0c747bb894c843e8e HTTP/1.1" 200 34735 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /css/all.min.css?v=2.6.3 HTTP/1.1" 200 4277 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /js/jquery.min.js HTTP/1.1" 200 89947 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /js/fontawesome.js HTTP/1.1" 200 86079 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /js/app.js?id=3b306fb20ef1a3c96c09963a4f6ff712 HTTP/1.1" 200 147558 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /webfonts/fa-solid-900.woff2 HTTP/1.1" 200 44420 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /img/bg1.jpg HTTP/1.1" 200 277424 "http://192.168.1.10:500/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15"
192.168.1.108 - - [15/Jul/2025:16:25:31 -0600] "GET /img/heimdall-logo-small.svg HTTP/1.1" 200 2871 "http://192.168.1.10:500/img/heimdall-logo-small.svg" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)"
